Date,Open,High,Low,Close,Volume,Open Interest
2023-10-17,4802.0,4802.0,4802.0,4802.0,0.0,0.0
2023-10-18,4738.75,4738.75,4738.75,4738.75,0.0,0.0
2023-10-19,4694.75,4694.75,4694.75,4694.75,0.0,0.0
2023-10-20,4634.75,4634.75,4634.75,4634.75,0.0,0.0
2023-10-23,4628.0,4628.0,4628.0,4628.0,0.0,0.0
2023-10-24,4660.0,4660.0,4660.0,4660.0,0.0,0.0
2023-10-25,4596.0,4596.0,4596.0,4596.0,0.0,0.0
2023-10-26,4538.0,4538.0,4538.0,4538.0,0.0,0.0
2023-10-27,4519.0,4519.0,4519.0,4519.0,0.0,0.0
2023-10-30,4569.0,4569.0,4569.0,4569.0,0.0,0.0
2023-10-31,4597.0,4597.0,4597.0,4597.0,0.0,0.0
2023-11-01,4639.0,4639.0,4639.0,4639.0,0.0,0.0
2023-11-02,4721.0,4721.0,4721.0,4721.0,0.0,0.0
2023-11-03,4761.0,4761.0,4761.0,4761.0,0.0,0.0
2023-11-06,4770.0,4770.0,4770.0,4770.0,0.0,0.0
2023-11-07,4782.5,4782.5,4782.5,4782.5,0.0,0.0
2023-11-08,4786.0,4786.0,4786.0,4786.0,0.0,0.0
2023-11-09,4748.5,4748.5,4748.5,4748.5,0.0,0.0
2023-11-10,4825.25,4825.25,4825.25,4825.25,0.0,0.0
2023-11-13,4820.25,4820.25,4820.25,4820.25,0.0,0.0
2023-11-14,4905.25,4905.25,4905.25,4905.25,0.0,0.0
2023-11-15,4914.25,4914.25,4914.25,4914.25,0.0,0.0
2023-11-16,4917.25,4917.25,4917.25,4917.25,0.0,0.0
2023-11-17,4916.25,4916.25,4916.25,4916.25,0.0,0.0
2023-11-20,4955.25,4955.25,4955.25,4955.25,0.0,0.0
2023-11-21,4944.25,4944.25,4944.25,4944.25,0.0,0.0
2023-11-22,4960.5,4960.5,4960.5,4960.5,0.0,0.0
2023-11-24,4961.5,4961.5,4961.5,4961.5,0.0,0.0
2023-11-27,4953.5,4953.5,4953.5,4953.5,0.0,0.0
2023-11-28,4953.5,4953.5,4953.5,4953.5,0.0,0.0
2023-11-29,4930.5,4930.5,4930.5,4930.5,0.0,0.0
2023-11-30,4948.5,4948.5,4948.5,4948.5,0.0,0.0
2023-12-01,4971.5,4971.5,4971.5,4971.5,0.0,0.0
2023-12-04,4944.75,4944.75,4944.75,4944.75,0.0,0.0
2023-12-05,4942.75,4942.75,4942.75,4942.75,0.0,0.0
2023-12-06,4923.75,4923.75,4923.75,4923.75,0.0,0.0
2023-12-07,4954.25,4954.25,4954.25,4954.25,0.0,0.0
2023-12-08,4995.0,4995.0,4995.0,4995.0,0.0,0.0
2023-12-11,5031.0,5031.0,5031.0,5031.0,0.0,0.0
2023-12-12,5052.0,5052.0,5052.0,5052.0,0.0,0.0
2023-12-13,5093.0,5093.0,5093.0,5093.0,0.0,0.0
2023-12-14,5095.0,5095.0,5095.0,5095.0,0.0,0.0
2023-12-15,5091.0,5091.0,5091.0,5091.0,0.0,0.0
2023-12-18,5119.0,5119.0,5119.0,5119.0,0.0,0.0
2023-12-19,5151.5,5151.5,5151.5,5151.5,0.0,0.0
2023-12-20,5071.5,5071.5,5071.5,5071.5,0.0,0.0
2023-12-21,5113.75,5113.75,5113.75,5113.75,0.0,0.0
2023-12-22,5121.75,5121.75,5121.75,5121.75,0.0,0.0
2023-12-26,5148.75,5148.75,5148.75,5148.75,0.0,0.0
2023-12-27,5148.75,5148.75,5148.75,5148.75,0.0,0.0
2023-12-28,5148.0,5148.0,5148.0,5148.0,0.0,0.0
2023-12-29,5131.5,5131.5,5131.5,5131.5,0.0,0.0
2024-01-02,5100.0,5100.0,5100.0,5100.0,0.0,0.0
2024-01-03,5060.0,5060.0,5060.0,5060.0,0.0,0.0
2024-01-04,5045.0,5045.0,5045.0,5045.0,0.0,0.0
2024-01-05,5055.0,5055.0,5055.0,5055.0,0.0,0.0
2024-01-08,5123.0,5123.0,5123.0,5123.0,0.0,0.0
2024-01-09,5114.5,5114.5,5114.5,5114.5,0.0,0.0
2024-01-10,5142.5,5142.5,5142.5,5142.5,0.0,0.0
2024-01-11,5133.25,5133.25,5133.25,5133.25,0.0,0.0
2024-01-12,5122.0,5122.0,5122.0,5122.0,0.0,0.0
2024-01-16,5106.0,5106.0,5106.0,5106.0,0.0,0.0
2024-01-17,5089.0,5089.0,5089.0,5089.0,0.0,0.0
2024-01-18,5139.0,5139.0,5139.0,5139.0,0.0,0.0
2024-01-19,5208.0,5208.0,5208.0,5208.0,0.0,0.0
2024-01-22,5222.0,5222.0,5222.0,5222.0,0.0,0.0
2024-01-23,5236.0,5236.0,5236.0,5236.0,0.0,0.0
2024-01-24,5239.0,5239.0,5239.0,5239.0,0.0,0.0
2024-01-25,5264.0,5264.0,5264.0,5264.0,0.0,0.0
2024-01-26,5257.0,5257.0,5257.0,5257.0,0.0,0.0
2024-01-29,5295.25,5295.25,5295.25,5295.25,0.0,0.0
2024-01-30,5294.25,5294.25,5294.25,5294.25,0.0,0.0
2024-01-31,5205.75,5205.75,5205.75,5205.75,0.0,0.0
2024-02-01,5255.75,5255.75,5255.75,5255.75,0.0,0.0
2024-02-02,5329.25,5329.25,5329.25,5329.25,0.0,0.0
2024-02-05,5322.5,5322.5,5322.5,5322.5,0.0,0.0
2024-02-06,5334.5,5334.5,5334.5,5334.5,0.0,0.0
2024-02-07,5380.0,5380.0,5380.0,5380.0,0.0,0.0
2024-02-08,5389.0,5389.0,5389.0,5389.0,0.0,0.0
2024-02-09,5417.0,5417.0,5417.0,5417.0,0.0,0.0
2024-02-12,5415.0,5415.0,5415.0,5415.0,0.0,0.0
2024-02-13,5358.0,5358.0,5358.0,5358.0,0.0,0.0
2024-02-14,5405.25,5405.25,5405.25,5405.25,0.0,0.0
2024-02-15,5434.25,5434.25,5434.25,5434.25,0.0,0.0
2024-02-16,5413.5,5413.5,5413.5,5413.5,0.0,0.0
2024-02-20,5386.5,5386.5,5386.5,5386.5,0.0,0.0
2024-02-21,5386.0,5386.0,5386.0,5386.0,0.0,0.0
2024-02-22,5518.5,5518.5,5518.5,5518.5,0.0,0.0
2024-02-23,5522.25,5522.25,5522.25,5522.25,0.0,0.0
2024-02-26,5500.5,5500.5,5500.5,5500.5,0.0,0.0
2024-02-27,5510.5,5510.5,5510.5,5510.5,0.0,0.0
2024-02-28,5500.5,5500.5,5500.5,5500.5,0.0,0.0
2024-02-29,5523.5,5523.5,5523.5,5523.5,0.0,0.0
2024-03-01,5555.5,5555.5,5555.5,5555.5,0.0,0.0
2024-03-04,5560.5,5560.5,5560.5,5560.5,0.0,0.0
2024-03-05,5494.5,5494.5,5494.5,5494.5,0.0,0.0
2024-03-06,5521.5,5521.5,5521.5,5521.5,0.0,0.0
2024-03-07,5573.0,5573.0,5573.0,5573.0,0.0,0.0
2024-03-08,5539.0,5539.0,5539.0,5539.0,0.0,0.0
2024-03-11,5533.0,5533.0,5533.0,5533.0,0.0,0.0
2024-03-12,5602.5,5602.5,5602.5,5602.5,0.0,0.0
2024-03-13,5595.25,5595.25,5595.25,5595.25,0.0,0.0
2024-03-14,5580.25,5580.25,5580.25,5580.25,0.0,0.0
2024-03-15,5557.5,5557.5,5557.5,5557.5,0.0,0.0
2024-03-18,5591.5,5591.5,5591.5,5591.5,0.0,0.0
2024-03-19,5618.5,5618.5,5618.5,5618.5,0.0,0.0
2024-03-20,5662.5,5662.5,5662.5,5662.5,0.0,0.0
2024-03-21,5680.0,5680.0,5680.0,5680.0,0.0,0.0
2024-03-22,5670.0,5670.0,5670.0,5670.0,0.0,0.0
2024-03-25,5658.25,5658.25,5658.25,5658.25,0.0,0.0
2024-03-26,5645.5,5645.5,5645.5,5645.5,0.0,0.0
2024-03-27,5684.75,5684.75,5684.75,5684.75,0.0,0.0
2024-03-28,5693.75,5693.75,5693.75,5693.75,0.0,0.0
2024-04-01,5686.5,5686.5,5686.5,5686.5,0.0,0.0
2024-04-02,5650.25,5650.25,5650.25,5650.25,0.0,0.0
2024-04-03,5655.25,5655.25,5655.25,5655.25,0.0,0.0
2024-04-04,5581.0,5581.0,5581.0,5581.0,0.0,0.0
2024-04-05,5641.0,5641.0,5641.0,5641.0,0.0,0.0
2024-04-08,5652.25,5652.25,5652.25,5652.25,0.0,0.0
2024-04-09,5658.25,5658.25,5658.25,5658.25,0.0,0.0
2024-04-10,5628.25,5628.25,5628.25,5628.25,0.0,0.0
2024-04-11,5669.75,5669.75,5669.75,5669.75,0.0,0.0
2024-04-12,5573.0,5573.0,5573.0,5573.0,0.0,0.0
2024-04-15,5508.0,5508.0,5508.0,5508.0,0.0,0.0
2024-04-16,5502.0,5502.0,5502.0,5502.0,0.0,0.0
2024-04-17,5472.0,5472.0,5472.0,5472.0,0.0,0.0
2024-04-18,5454.75,5454.75,5454.75,5454.75,0.0,0.0
2024-04-19,5407.75,5407.75,5407.75,5407.75,0.0,0.0
2024-04-22,5452.75,5452.75,5452.75,5452.75,0.0,0.0
2024-04-23,5512.0,5512.0,5512.0,5512.0,0.0,0.0
2024-04-24,5518.0,5518.0,5518.0,5518.0,0.0,0.0
2024-04-25,5498.0,5498.0,5498.0,5498.0,0.0,0.0
2024-04-26,5552.5,5552.5,5552.5,5552.5,0.0,0.0
2024-04-29,5567.5,5567.5,5567.5,5567.5,0.0,0.0
2024-04-30,5487.5,5487.5,5487.5,5487.5,0.0,0.0
2024-05-01,5454.75,5454.75,5454.75,5454.75,0.0,0.0
2024-05-02,5489.75,5489.75,5489.75,5489.75,0.0,0.0
2024-05-03,5544.25,5544.25,5544.25,5544.25,0.0,0.0
2024-05-06,5607.5,5607.5,5607.5,5607.5,0.0,0.0
2024-05-07,5615.0,5615.0,5615.0,5615.0,0.0,0.0
2024-05-08,5614.0,5614.0,5614.0,5614.0,0.0,0.0
2024-05-09,5640.0,5640.0,5640.0,5640.0,0.0,0.0
2024-05-10,5665.0,5665.0,5665.0,5665.0,0.0,0.0
2024-05-13,5663.75,5663.75,5663.75,5663.75,0.0,0.0
2024-05-14,5688.25,5688.25,5688.25,5688.25,0.0,0.0
2024-05-15,5745.25,5745.25,5745.25,5745.25,0.0,0.0
2024-05-16,5737.0,5737.0,5737.0,5737.0,0.0,0.0
2024-05-17,5749.0,5749.0,5749.0,5749.0,0.0,0.0
2024-05-20,5759.0,5759.0,5759.0,5759.0,0.0,0.0
2024-05-21,5773.25,5773.25,5773.25,5773.25,0.0,0.0
2024-05-22,5761.25,5761.25,5761.25,5761.25,0.0,0.0
2024-05-23,5728.25,5728.25,5728.25,5728.25,0.0,0.0
2024-05-24,5768.75,5768.75,5768.75,5768.75,0.0,0.0
2024-05-28,5772.75,5772.75,5772.75,5772.75,0.0,0.0
2024-05-29,5731.75,5731.75,5731.75,5731.75,0.0,0.0
2024-05-30,5693.75,5693.75,5693.75,5693.75,0.0,0.0
2024-05-31,5731.75,5731.75,5731.75,5731.75,0.0,0.0
2024-06-03,5727.75,5727.75,5727.75,5727.75,0.0,0.0
2024-06-04,5728.75,5728.75,5728.75,5728.75,0.0,0.0
2024-06-05,5792.25,5792.25,5792.25,5792.25,0.0,0.0
2024-06-06,5790.25,5790.25,5790.25,5790.25,0.0,0.0
2024-06-07,5800.75,5800.75,5800.75,5800.75,0.0,0.0
2024-06-10,5821.75,5821.75,5821.75,5821.75,0.0,0.0
2024-06-11,5824.75,5824.75,5824.75,5824.75,0.0,0.0
2024-06-12,5863.0,5863.0,5863.0,5863.0,0.0,0.0
2024-06-13,5870.75,5870.75,5870.75,5870.75,0.0,0.0
2024-06-14,5868.75,5868.75,5868.75,5868.75,0.0,0.0
2024-06-17,5922.5,5922.5,5922.5,5922.5,0.0,0.0
2024-06-18,5934.25,5934.25,5934.25,5934.25,0.0,0.0
2024-06-20,5922.5,5922.5,5922.5,5922.5,0.0,0.0
2024-06-21,5911.25,5911.25,5911.25,5911.25,0.0,0.0
2024-06-24,5894.25,5894.25,5894.25,5894.25,0.0,0.0
2024-06-25,5914.5,5914.5,5914.5,5914.5,0.0,0.0
2024-06-26,5931.0,5931.0,5931.0,5931.0,0.0,0.0
2024-06-27,5923.5,5923.5,5923.5,5923.5,0.0,0.0
2024-06-28,5902.75,5902.75,5902.75,5902.75,0.0,0.0
2024-07-01,5914.75,5914.75,5914.75,5914.75,0.0,0.0
2024-07-02,5954.75,5954.75,5954.75,5954.75,0.0,0.0
2024-07-03,5976.0,5976.0,5976.0,5976.0,0.0,0.0
2024-07-05,5997.5,5997.5,5997.5,5997.5,0.0,0.0
2024-07-08,6002.75,6002.75,6002.75,6002.75,0.0,0.0
2024-07-09,6009.0,6009.0,6009.0,6009.0,0.0,0.0
2024-07-10,6068.25,6068.25,6068.25,6068.25,0.0,0.0
2024-07-11,6003.5,6003.5,6003.5,6003.5,0.0,0.0
2024-07-12,6030.0,6030.0,6030.0,6030.0,0.0,0.0
2024-07-15,6047.25,6047.25,6047.25,6047.25,0.0,0.0
2024-07-16,6081.25,6081.25,6081.25,6081.25,0.0,0.0
2024-07-17,6001.25,6001.25,6001.25,6001.25,0.0,0.0
2024-07-18,5955.75,5955.75,5955.75,5955.75,0.0,0.0
2024-07-19,5913.75,5913.75,5913.75,5913.75,0.0,0.0
2024-07-22,5976.25,5976.25,5976.25,5976.25,0.0,0.0
2024-07-23,5961.25,5961.25,5961.25,5961.25,0.0,0.0
2024-07-24,5831.25,5831.25,5831.25,5831.25,0.0,0.0
2024-07-25,5797.25,5797.25,5797.25,5797.25,0.0,0.0
2024-07-26,5853.0,5853.0,5853.0,5853.0,0.0,0.0
